G1,G2,G3,G4,G5,V_GMPP,P_Max
1000,500,400,100,100,113.793458750388,225.701719761377
600,600,400,100,100,113.012296412486,224.210505649444
700,600,400,100,100,113.829537717199,225.634157015181
800,600,400,100,100,114.208447948092,226.664445531225
900,600,400,100,100,114.724133287135,227.468258813002
1000,600,400,100,100,114.997754395056,228.112870416306
700,700,400,100,100,70.7207586295764,236.510269841809
800,700,400,100,100,71.9867401487822,245.936571072596
900,700,400,100,100,72.8653401710482,249.772671771972
1000,700,400,100,100,73.346984546845,252.145544342798
800,800,400,100,100,70.7655882063027,270.699271927473
900,800,400,100,100,71.8138283844135,280.667008408093
1000,800,400,100,100,72.7886546014079,284.960277628665
900,900,400,100,100,70.9567098641418,304.75837453026
1000,900,400,100,100,71.8968395083853,315.1858443212
1000,1000,400,100,100,71.0028165635763,338.651091828322
500,500,500,100,100,107.275045714126,256.550199631053
600,500,500,100,100,108.846277191968,264.267967570723
700,500,500,100,100,109.861278855608,267.022194772879
800,500,500,100,100,110.443149977652,268.72029361366
900,500,500,100,100,110.919613664923,269.946813763804
1000,500,500,100,100,111.19683054813,270.91073910081
600,600,500,100,100,109.823652875563,273.648709519301
700,600,500,100,100,111.825827052422,276.822576153299
800,600,500,100,100,112.44926120957,278.611919668202
900,600,500,100,100,112.921882573118,279.886055274008
1000,600,500,100,100,113.426308265397,280.886834627375
700,700,500,100,100,112.617434089986,287.992212838655
800,700,500,100,100,113.68284304809,281.633925917602
900,700,500,100,100,114.105671690641,282.881869739036
1000,700,500,100,100,114.556168322986,283.879247473445
800,800,500,100,100,114.359697584255,283.401069324498
900,800,500,100,100,114.882692240222,284.801256498119
1000,800,500,100,100,115.230689092444,285.672087466129
900,900,500,100,100,70.9417582828357,304.760815541893
1000,900,500,100,100,71.9163714199455,315.18198654023
1000,1000,500,100,100,70.9409992201826,338.65324821432
600,600,600,100,100,107.623535037807,309.062982885259
700,600,600,100,100,108.963700519371,317.49670172968
800,600,600,100,100,110.013354744686,320.728527880167
900,600,600,100,100,110.518112165419,322.737542025729
1000,600,600,100,100,110.988357144174,324.200692935987
700,700,600,100,100,110.609892460244,327.986018477465
800,700,600,100,100,111.70733281961,331.43415843895
900,700,600,100,100,112.295706171529,333.642239211631
1000,700,600,100,100,112.839913014726,335.170372150779
800,800,600,100,100,112.721456734415,335.051582020462
900,800,600,100,100,113.362765456959,337.182015212379
1000,800,600,100,100,113.924252230606,338.711934845811
900,900,600,100,100,114.257424295257,339.335643575028
1000,900,600,100,100,114.446862117176,340.844007416742
1000,1000,600,100,100,115.14204837807,342.331715127591
700,700,700,100,100,108.083255869464,361.47356924411
800,700,700,100,100,109.184895755276,370.51819727294
900,700,700,100,100,109.946805946811,374.200791634127
1000,700,700,100,100,110.813612051332,376.506040009954
800,800,700,100,100,110.500920498851,381.81449206834
900,800,700,100,100,111.584184148333,385.841846584613
1000,800,700,100,100,112.311558248664,388.286869158634
900,900,700,100,100,112.442771884,390.018469477029
1000,900,700,100,100,112.777608409233,393.752000407318
1000,1000,700,100,100,113.896276575991,394.929231688899
800,800,800,100,100,108.089184773544,413.722671258466
900,800,800,100,100,109.105036764886,423.28689762773
1000,800,800,100,100,109.901123941868,427.394098334707
900,900,800,100,100,110.435245990008,435.251144413728
1000,900,800,100,100,111.038692371739,439.912252158022
1000,1000,800,100,100,112.265059006128,444.472113052283
900,900,900,100,100,108.200615646738,465.764323359635
1000,900,900,100,100,109.220377608583,475.781553223788
1000,1000,900,100,100,110.212633525337,488.270366566942
1000,1000,1000,100,100,108.440034698829,517.56592574519
200,200,200,200,100,139.843681815651,133.986535467877
300,200,200,200,100,142.781289556457,138.44700422053
400,200,200,200,100,143.771188163189,139.6193281479
500,200,200,200,100,144.231346166022,140.351396402776
600,200,200,200,100,144.842260146082,140.821161155129
700,200,200,200,100,145.376800089767,141.210835236038
800,200,200,200,100,145.494883914789,141.546247148488
900,200,200,200,100,145.858169534313,141.802076529727
1000,200,200,200,100,146.070468643991,142.03685169066
300,300,200,200,100,145.939057925765,143.525920514949
400,300,200,200,100,147.142659901022,144.733228902455
500,300,200,200,100,147.728125574197,145.449252050037
600,300,200,200,100,148.327005927019,145.966118117002
700,300,200,200,100,148.666453208277,146.359334470859
800,300,200,200,100,149.062243574065,146.686043318094
900,300,200,200,100,149.203772027649,146.974463195168
1000,300,200,200,100,149.339020198723,147.210453947696
400,400,200,200,100,148.295492401697,145.94488105624
500,400,200,200,100,148.889620015564,146.659771097025
600,400,200,200,100,149.370635919515,147.175566026307
700,400,200,200,100,149.838270390576,147.57086677419
800,400,200,200,100,150.211438255688,147.897256978328
900,400,200,200,100,150.494656102255,148.175771539279
1000,400,200,200,100,150.614674596741,148.425209576463
500,500,200,200,100,70.2865243843034,167.836272195645
600,500,200,200,100,71.7933571592457,175.885143301075
700,500,200,200,100,72.8639246411904,178.753607894933
800,500,200,200,100,73.56965042742,180.474384055785
900,500,200,200,100,73.9298957856386,181.726488776103
1000,500,200,200,100,74.3286643976916,182.706356651712
600,600,200,200,100,70.4229415855979,202.203202070075
700,600,200,200,100,72.0056879576727,210.999071080387
800,600,200,200,100,72.7794895626956,214.353729075989
900,600,200,200,100,73.4415176039642,216.419217296926
1000,600,200,200,100,73.9239282379472,217.91153550238
700,700,200,200,100,70.7939747895337,236.506380781461
800,700,200,200,100,71.9671375176214,245.936212246334
900,700,200,200,100,72.8466904878142,249.771842685936
1000,700,200,200,100,73.5538624427059,252.144049530265
800,800,200,200,100,70.916537532695,270.699985289947
900,800,200,200,100,71.8991326705454,280.668604217885
1000,800,200,200,100,72.8448434367599,284.951917351958
900,900,200,200,100,70.8573969758617,304.752799169367
1000,900,200,200,100,71.8980048129497,315.17946543739
1000,1000,200,200,100,70.9781789705918,338.649139021095
300,300,300,200,100,150.934105365883,155.849160532758
400,300,300,200,100,107.767467327962,157.466519381178
500,300,300,200,100,108.820481725938,159.168082649484
600,300,300,200,100,109.656548550926,160.211861132502
700,300,300,200,100,110.010146087012,160.964129043333
800,300,300,200,100,110.404103889416,161.549098601521
900,300,300,200,100,110.636500701523,162.027777773638
1000,300,300,200,100,110.942336504121,162.435552135896
400,400,300,200,100,110.704357597315,164.588938496312
500,400,300,200,100,111.931673535481,166.328109989271
600,400,300,200,100,112.531716552561,167.494137304293
700,400,300,200,100,113.159877636683,168.286821895241
800,400,300,200,100,113.834060253531,168.95539728677
900,400,300,200,100,113.9752908668,169.42970552776
1000,400,300,200,100,114.085080902641,169.790735041338
500,500,300,200,100,112.991144733957,168.256523643238
600,500,300,200,100,71.7467198349324,175.882654724215
700,500,300,200,100,72.7741584632133,178.735512248609
800,500,300,200,100,73.5926423762228,180.473736711352
900,500,300,200,100,73.8940938700928,181.724625164851
1000,500,300,200,100,74.4167000270306,182.706303660136
600,600,300,200,100,70.5638639323289,202.207845028995
700,600,300,200,100,71.9924799303814,211.002137357128
800,600,300,200,100,72.931112858445,214.35825607371
900,600,300,200,100,73.6021359992556,216.417148379148
1000,600,300,200,100,73.9727590125416,217.914693632062
700,700,300,200,100,70.7866059049176,236.508660875351
800,700,300,200,100,71.9289993711756,245.939504960352
900,700,300,200,100,72.7874546464547,249.772121438767
1000,700,300,200,100,73.3815333635133,252.150109708442
800,800,300,200,100,70.7779466499548,270.700353480936
900,800,300,200,100,71.9787612968772,280.665364128129
1000,800,300,200,100,72.7150622842006,284.957376103791
900,900,300,200,100,70.9935190741208,304.756734307624
1000,900,300,200,100,71.9230807850288,315.177830125762
1000,1000,300,200,100,71.0618499280943,338.646998799015
400,400,400,200,100,106.46004434618,204.020259617356
500,400,400,200,100,108.373429470193,210.884107310769
600,400,400,200,100,109.383701575333,213.142984036924
700,400,400,200,100,110.105155910014,214.518137179805
800,400,400,200,100,110.657593423153,215.508075456351
900,400,400,200,100,110.921853671397,216.28465345621
1000,400,400,200,100,111.27404166618,216.920556224796
500,500,400,200,100,110.866945735796,219.369408943399
600,500,400,200,100,112.302811895628,222.182492404353
700,500,400,200,100,112.499398911232,223.216432657447
800,500,400,200,100,113.207076270154,224.243879368155
900,500,400,200,100,113.402367625833,225.044451653215
1000,500,400,200,100,113.70780584099,225.698181924729
600,600,400,200,100,113.020641594831,224.568612901003
700,600,400,200,100,114.270803052987,229.076644191603
800,600,400,200,100,114.314197321469,226.667768812817
900,600,400,200,100,114.68878340528,227.467037571438
1000,600,400,200,100,115.01196107424,228.122342222395
700,700,400,200,100,70.7490382852357,236.511789149243
800,700,400,200,100,71.8291051135982,245.936752061915
900,700,400,200,100,72.7742648290103,249.772361277571
1000,700,400,200,100,73.5235867353337,252.15173859648
800,800,400,200,100,70.9559280032429,270.700820106579
900,800,400,200,100,71.9017543056127,280.673922875904
